areaCode,areaName,areaType,date,newOnsDeathsByRegistrationDate
K02000001,United Kingdom,overview,2021-05-28,106
K02000001,United Kingdom,overview,2021-05-21,115
K02000001,United Kingdom,overview,2021-05-14,164
K02000001,United Kingdom,overview,2021-05-07,139
K02000001,United Kingdom,overview,2021-04-30,232
K02000001,United Kingdom,overview,2021-04-23,290
K02000001,United Kingdom,overview,2021-04-16,402
K02000001,United Kingdom,overview,2021-04-09,422
K02000001,United Kingdom,overview,2021-04-02,450
K02000001,United Kingdom,overview,2021-03-26,800
K02000001,United Kingdom,overview,2021-03-19,1046
K02000001,United Kingdom,overview,2021-03-12,1637
K02000001,United Kingdom,overview,2021-03-05,2280
K02000001,United Kingdom,overview,2021-02-26,3199
K02000001,United Kingdom,overview,2021-02-19,4448
K02000001,United Kingdom,overview,2021-02-12,6115
K02000001,United Kingdom,overview,2021-02-05,7823
K02000001,United Kingdom,overview,2021-01-29,9014
K02000001,United Kingdom,overview,2021-01-22,9056
K02000001,United Kingdom,overview,2021-01-15,7771
K02000001,United Kingdom,overview,2021-01-08,6594
K02000001,United Kingdom,overview,2021-01-01,3424
K02000001,United Kingdom,overview,2020-12-25,3201
K02000001,United Kingdom,overview,2020-12-18,3277
K02000001,United Kingdom,overview,2020-12-11,3070
K02000001,United Kingdom,overview,2020-12-04,3195
K02000001,United Kingdom,overview,2020-11-27,3405
K02000001,United Kingdom,overview,2020-11-20,3068
K02000001,United Kingdom,overview,2020-11-13,2866
K02000001,United Kingdom,overview,2020-11-06,2252
K02000001,United Kingdom,overview,2020-10-30,1615
K02000001,United Kingdom,overview,2020-10-23,1143
K02000001,United Kingdom,overview,2020-10-16,779
K02000001,United Kingdom,overview,2020-10-09,489
K02000001,United Kingdom,overview,2020-10-02,352
K02000001,United Kingdom,overview,2020-09-25,242
K02000001,United Kingdom,overview,2020-09-18,170
K02000001,United Kingdom,overview,2020-09-11,120
K02000001,United Kingdom,overview,2020-09-04,92
K02000001,United Kingdom,overview,2020-08-28,120
K02000001,United Kingdom,overview,2020-08-21,160
K02000001,United Kingdom,overview,2020-08-14,161
K02000001,United Kingdom,overview,2020-08-07,176
K02000001,United Kingdom,overview,2020-07-31,212
K02000001,United Kingdom,overview,2020-07-24,243
K02000001,United Kingdom,overview,2020-07-17,312
K02000001,United Kingdom,overview,2020-07-10,406
K02000001,United Kingdom,overview,2020-07-03,572
K02000001,United Kingdom,overview,2020-06-26,670
K02000001,United Kingdom,overview,2020-06-19,866
K02000001,United Kingdom,overview,2020-06-12,1229
K02000001,United Kingdom,overview,2020-06-05,1729
K02000001,United Kingdom,overview,2020-05-29,2033
K02000001,United Kingdom,overview,2020-05-22,2918
K02000001,United Kingdom,overview,2020-05-15,4259
K02000001,United Kingdom,overview,2020-05-08,4465
K02000001,United Kingdom,overview,2020-05-01,6743
K02000001,United Kingdom,overview,2020-04-24,9085
K02000001,United Kingdom,overview,2020-04-17,9553
K02000001,United Kingdom,overview,2020-04-10,6928
K02000001,United Kingdom,overview,2020-04-03,3841
K02000001,United Kingdom,overview,2020-03-27,624
K02000001,United Kingdom,overview,2020-03-20,119
K02000001,United Kingdom,overview,2020-03-13,5
